scenario_seed,slot,assignment_id,cell,selected_satellite,visible_satellites,demand_bits,proxy_xi,oracle_xi,signed_error,abs_error,rel_error,oracle_status,oracle_solve_time_s
0,8,0,0,2,5,12540790.0,0.280635925395506,0.3179482852890485,-0.03731235989354248,0.03731235989354248,0.11735354968063945,optimal_inaccurate,0.3692536669987021
0,8,0,1,4,5,62676570.0,0.21355742231990343,0.08363145844159259,0.12992596387831085,0.12992596387831085,1.5535537260664884,optimal_inaccurate,0.3692536669987021
0,8,0,2,5,5,62677990.0,0.3153634563743302,0.12590082488705429,0.18946263148727593,0.18946263148727593,1.5048561568777885,optimal_inaccurate,0.3692536669987021
0,8,0,3,3,3,12532810.0,0.26085943265857087,0.9999999386477872,-0.7391405059892164,0.7391405059892164,0.7391405513371248,optimal_inaccurate,0.3692536669987021
0,8,0,4,2,5,12537720.0,0.33982228021927396,0.38595782573832654,-0.04613554551905258,0.04613554551905258,0.11953519903579249,optimal_inaccurate,0.3692536669987021
0,8,0,5,4,6,12520680.0,0.23871726832475595,0.39053690135585756,-0.1518196330311016,0.1518196330311016,0.3887459354135742,optimal_inaccurate,0.3692536669987021
0,8,0,6,1,6,12527390.0,0.2614907504720217,0.5696436895048698,-0.30815293903284807,0.30815293903284807,0.5409573470403796,optimal_inaccurate,0.3692536669987021
0,8,0,7,2,4,12511170.0,0.2654724325596599,0.3774496618337278,-0.11197722927406789,0.11197722927406789,0.29666798144700823,optimal_inaccurate,0.3692536669987021
0,8,0,8,7,3,62689450.0,0.15858411298407685,0.07580881461797521,0.08277529836610163,0.08277529836610163,1.0918954317282594,optimal_inaccurate,0.3692536669987021
0,8,0,9,7,5,12528020.0,0.23393212536994307,0.3356193301465828,-0.10168720477663973,0.10168720477663973,0.30298375463721805,optimal_inaccurate,0.3692536669987021
0,8,0,10,4,5,62650320.0,0.21609949074905263,0.08467606875470358,0.13142342199434903,0.13142342199434903,1.552072786646094,optimal_inaccurate,0.3692536669987021
