scenario_seed,slot,assignment_id,cell,selected_satellite,visible_satellites,demand_bits,proxy_xi,oracle_xi,signed_error,abs_error,rel_error,oracle_status,oracle_solve_time_s
0,4,0,0,3,3,12221890.0,0.3173011180956283,0.44567660235215295,-0.12837548425652467,0.12837548425652467,0.288046272967878,optimal_inaccurate,0.08985979200224392
0,4,0,1,1,2,12224240.0,0.2542937629946389,0.4065077298005495,-0.1522139668059106,0.1522139668059106,0.3744429826232171,optimal_inaccurate,0.08985979200224392
0,4,0,2,0,3,12213430.0,0.32309796293910165,0.9999998928585041,-0.6769019299194025,0.6769019299194025,0.6769020024436956,optimal_inaccurate,0.08985979200224392
0,4,0,3,1,2,12212540.0,0.275092317697165,0.441802511547135,-0.16671019384997,0.16671019384997,0.3773409826625307,optimal_inaccurate,0.08985979200224392
0,4,0,4,0,3,61140710.0,0.3345321697028962,0.32747326956039474,0.007058900142501434,0.007058900142501434,0.021555652930015975,optimal_inaccurate,0.08985979200224392
0,4,0,5,1,4,12208380.0,0.47327470255890697,0.37844036612786147,0.0948343364310455,0.0948343364310455,0.25059255015889176,optimal_inaccurate,0.08985979200224392
0,4,0,6,3,4,61142730.0,0.41909463453580753,0.0881200011128874,0.3309746334229201,0.3309746334229201,3.7559535774281287,optimal_inaccurate,0.08985979200224392
0,4,0,7,3,4,61181500.0,0.3570805049879069,0.07469928215107596,0.2823812228368309,0.2823812228368309,3.7802401134957027,optimal_inaccurate,0.08985979200224392
0,4,0,8,1,2,12223140.0,0.25623663649965067,0.4097348644940403,-0.1534982279943896,0.1534982279943896,0.37462818348137494,optimal_inaccurate,0.08985979200224392
0,4,0,9,3,4,12236590.0,0.3902905813151514,0.4089920129237521,-0.018701431608600716,0.018701431608600716,0.04572566460383959,optimal_inaccurate,0.08985979200224392
0,4,0,10,1,4,12226440.0,0.5578223142979231,0.4478199186921491,0.11000239560577396,0.11000239560577396,0.24563980076418707,optimal_inaccurate,0.08985979200224392
0,4,0,11,3,3,12245780.0,0.3168369455317545,0.44410886855743775,-0.12727192302568324,0.12727192302568324,0.2865782064634065,optimal_inaccurate,0.08985979200224392
0,4,1,0,2,3,12221890.0,0.28939707882183513,0.9999999186403093,-0.7106028398184743,0.7106028398184743,0.7106028976329062,optimal_inaccurate,0.09606629201152828
0,4,1,1,1,2,12224240.0,0.2542937629946389,0.4071699385442675,-0.15287617554962857,0.15287617554962857,0.37546036943738637,optimal_inaccurate,0.09606629201152828
0,4,1,2,2,3,12213430.0,0.25722950505063713,0.9140469217658802,-0.6568174167152431,0.6568174167152431,0.718581728218409,optimal_inaccurate,0.09606629201152828
0,4,1,3,1,2,12212540.0,0.275092317697165,0.44103645147530635,-0.16594413377814132,0.16594413377814132,0.3762594525306091,optimal_inaccurate,0.09606629201152828
0,4,1,4,0,3,61140710.0,0.3345321697028962,0.10692156496621405,0.22761060473668213,0.22761060473668213,2.1287623765009838,optimal_inaccurate,0.09606629201152828
0,4,1,5,0,4,12208380.0,0.41354109364574454,0.49727063937679034,-0.0837295457310458,0.0837295457310458,0.16837822123578566,optimal_inaccurate,0.09606629201152828
