scenario_seed,slot,assignment_id,cell,selected_satellite,visible_satellites,demand_bits,proxy_xi,oracle_xi,signed_error,abs_error,rel_error,oracle_status,oracle_solve_time_s
0,1,0,0,0,3,121027600.0,0.09400087197607736,0.09427467488510631,-0.0002738029090289529,0.0002738029090289529,0.0029043102971465008,optimal,0.021538832996156998
0,1,0,1,0,3,121207100.0,0.09182212084003426,0.09194523341744586,-0.0001231125774115993,0.0001231125774115993,0.0013389772676159165,optimal,0.021538832996156998
0,1,0,2,0,3,606241600.0,0.0928603517591305,0.018509486146462212,0.0743508656126683,0.0743508656126683,4.01690598130836,optimal,0.021538832996156998
0,1,0,3,1,3,121192600.0,0.07679797299553288,0.2303999748070669,-0.153602001811534,0.153602001811534,0.6666754279819594,optimal,0.021538832996156998
0,1,0,4,2,3,121093400.0,0.08023811464844441,0.24091787967479647,-0.16067976502635206,0.16067976502635206,0.6669482781570467,optimal,0.021538832996156998
0,1,1,0,1,3,121027600.0,0.09105845296721408,0.09138312437382046,-0.00032467140660637217,0.00032467140660637217,0.0035528595550994796,optimal,0.012285584001801908
0,1,1,1,0,3,121207100.0,0.09182212084003426,0.1377895969036607,-0.04596747606362643,0.04596747606362643,0.3336062888388144,optimal,0.012285584001801908
0,1,1,2,1,3,606241600.0,0.07911051327909971,0.015756770895698408,0.0633537423834013,0.0633537423834013,4.020731328948678,optimal,0.012285584001801908
0,1,1,3,0,3,121192600.0,0.08231517028565412,0.12346320256423987,-0.04114803227858575,0.04114803227858575,0.33328175054568,optimal,0.012285584001801908
0,1,1,4,1,3,121093400.0,0.08077000123435837,0.0810252527702101,-0.0002552515358517221,0.0002552515358517221,0.0031502713922488173,optimal,0.012285584001801908
0,2,2,0,2,3,130007500.0,0.06534770333752045,0.06536681582225086,-1.9112484730410273e-05,1.9112484730410273e-05,0.00029238818642141024,optimal,0.0119236250029644
0,2,2,1,2,3,129993500.0,0.07717022338196619,0.07724615705392522,-7.593367195903034e-05,7.593367195903034e-05,0.0009830090564378671,optimal,0.0119236250029644
0,2,2,2,1,3,650180400.0,0.06940262504111813,0.02076652409518578,0.04863610094593235,0.04863610094593235,2.3420434119356286,optimal,0.0119236250029644
0,2,2,3,2,3,129947800.0,0.06682801482947621,0.06686866754942046,-4.065271994424524e-05,4.065271994424524e-05,0.0006079487065328487,optimal,0.0119236250029644
0,2,2,4,1,3,129971100.0,0.07238613748405807,0.10888214867390886,-0.03649601118985078,0.03649601118985078,0.3351881978298636,optimal,0.0119236250029644
0,2,3,0,2,3,130007500.0,0.06534770333752045,0.06546136577969451,-0.00011366244217406174,0.00011366244217406174,0.0017363286087947578,optimal,0.011673415996483527
0,2,3,1,1,3,129993500.0,0.07576759293045089,0.11378937948471242,-0.03802178655426153,0.03802178655426153,0.334141786574816,optimal,0.011673415996483527
0,2,3,2,2,3,650180400.0,0.07404623241078165,0.014765472491970804,0.05928075991881084,0.05928075991881084,4.0148230915770995,optimal,0.011673415996483527
0,2,3,3,1,3,129947800.0,0.0607683861459084,0.09127430041994962,-0.030505914274041222,0.030505914274041222,0.33422238388773906,optimal,0.011673415996483527
0,2,3,4,2,3,129971100.0,0.06761997115493008,0.06775540996026426,-0.00013543880533417596,0.00013543880533417596,0.001998937138947358,optimal,0.011673415996483527
0,5,4,0,0,3,78872100.0,0.11553108195183713,0.11555171714374547,-2.06351919083414e-05,2.06351919083414e-05,0.0001785797080165531,optimal,0.01170175000152085
0,5,4,1,0,3,78789600.0,0.12591659977567973,0.12607099659141324,-0.0001543968157335096,0.0001543968157335096,0.001224681488272027,optimal,0.01170175000152085
