scenario_seed,slot,assignment_id,cell,selected_satellite,visible_satellites,demand_bits,proxy_xi,oracle_xi,signed_error,abs_error,rel_error,oracle_status,oracle_solve_time_s
0,4,0,0,3,3,1222189.0,1.0,0.9999999999053301,9.466993855511419e-11,9.466993855511419e-11,9.466993856407658e-11,optimal_inaccurate,0.07611445800284855
0,4,0,1,1,2,1222424.0,1.0,0.9999999999076289,9.237111076032534e-11,9.237111076032534e-11,9.237111076885776e-11,optimal_inaccurate,0.07611445800284855
0,4,0,2,0,3,1221343.0,1.0,0.9999999999095742,9.042577797657714e-11,9.042577797657714e-11,9.042577798475396e-11,optimal_inaccurate,0.07611445800284855
0,4,0,3,1,2,1221254.0,1.0,0.9999999999066881,9.33119137513927e-11,9.33119137513927e-11,9.33119137600998e-11,optimal_inaccurate,0.07611445800284855
0,4,0,4,0,3,6114071.0,1.0,0.9999999999378473,6.215272740917044e-11,6.215272740917044e-11,6.21527274130334e-11,optimal_inaccurate,0.07611445800284855
0,4,0,5,1,4,1220838.0,1.0,0.9999999999076603,9.233969144872844e-11,9.233969144872844e-11,9.233969145725506e-11,optimal_inaccurate,0.07611445800284855
0,4,0,6,3,4,6114273.0,1.0,0.9999999998892252,1.1077483375032671e-10,1.1077483375032671e-10,1.1077483376259778e-10,optimal_inaccurate,0.07611445800284855
0,4,0,7,3,4,6118150.0,1.0,0.9999999999042977,9.570233494571312e-11,9.570233494571312e-11,9.570233495487205e-11,optimal_inaccurate,0.07611445800284855
0,4,0,8,1,2,1222314.0,1.0,0.9999999999067344,9.326561745126583e-11,9.326561745126583e-11,9.32656174599643e-11,optimal_inaccurate,0.07611445800284855
0,4,0,9,3,4,1223659.0,1.0,0.9999999999051807,9.481926355192627e-11,9.481926355192627e-11,9.481926356091696e-11,optimal_inaccurate,0.07611445800284855
0,4,0,10,1,4,1222644.0,1.0,0.9999999999072139,9.278611212693022e-11,9.278611212693022e-11,9.278611213553948e-11,optimal_inaccurate,0.07611445800284855
0,4,0,11,3,3,1224578.0,1.0,0.9999999999052447,9.475531470570786e-11,9.475531470570786e-11,9.475531471468643e-11,optimal_inaccurate,0.07611445800284855
0,4,1,0,2,3,1222189.0,1.0,0.9999999999908784,9.121592370320286e-12,9.121592370320286e-12,9.121592370403489e-12,optimal,0.06777879100991413
0,4,1,1,1,2,1222424.0,1.0,0.9999999999906308,9.369172104811696e-12,9.369172104811696e-12,9.369172104899477e-12,optimal,0.06777879100991413
0,4,1,2,2,3,1221343.0,1.0,0.9999999999908704,9.129585976097587e-12,9.129585976097587e-12,9.129585976180937e-12,optimal,0.06777879100991413
0,4,1,3,1,2,1221254.0,1.0,0.9999999999905941,9.405920486926789e-12,9.405920486926789e-12,9.40592048701526e-12,optimal,0.06777879100991413
0,4,1,4,0,3,6114071.0,1.0,0.9999999999906288,9.371170506256021e-12,9.371170506256021e-12,9.37117050634384e-12,optimal,0.06777879100991413
0,4,1,5,0,4,1220838.0,1.0,0.9999999999909043,9.09572417384652e-12,9.09572417384652e-12,9.095724173929253e-12,optimal,0.06777879100991413
0,4,1,6,1,4,6114273.0,1.0,0.9999999999869524,1.3047563029999765e-11,1.3047563029999765e-11,1.3047563030170004e-11,optimal,0.06777879100991413
0,4,1,7,1,4,6118150.0,1.0,0.9999999999899876,1.0012435325279512e-11,1.0012435325279512e-11,1.001243532537976e-11,optimal,0.06777879100991413
0,4,1,8,1,2,1222314.0,1.0,0.999999999990626,9.373946063817584e-12,9.373946063817584e-12,9.373946063905454e-12,optimal,0.06777879100991413
0,4,1,9,0,4,1223659.0,1.0,0.9999999999908856,9.114375920660223e-12,9.114375920660223e-12,9.114375920743294e-12,optimal,0.06777879100991413
0,4,1,10,0,4,1222644.0,1.0,0.9999999999909318,9.068190642835816e-12,9.068190642835816e-12,9.068190642918048e-12,optimal,0.06777879100991413
0,4,1,11,0,3,1224578.0,1.0,0.999999999990901,9.099054842920395e-12,9.099054842920395e-12,9.099054843003188e-12,optimal,0.06777879100991413
0,4,2,0,2,3,1222189.0,1.0,0.9999999999841992,1.580080510876769e-11,1.580080510876769e-11,1.5800805109017357e-11,optimal,0.064255334000336
0,4,2,1,1,2,1222424.0,1.0,0.9999999999842016,1.5798362618113515e-11,1.5798362618113515e-11,1.5798362618363104e-11,optimal,0.064255334000336
0,4,2,2,2,3,1221343.0,1.0,0.9999999999841893,1.5810686093686854e-11,1.5810686093686854e-11,1.581068609393683e-11,optimal,0.064255334000336
0,4,2,3,0,2,1221254.0,1.0,0.9999999999841774,1.5822565480050343e-11,1.5822565480050343e-11,1.5822565480300698e-11,optimal,0.064255334000336
0,4,2,4,3,3,6114071.0,1.0,0.9999999999602964,3.970357376203992e-11,3.970357376203992e-11,3.97035737636163e-11,optimal,0.064255334000336
0,4,2,5,1,4,1220838.0,1.0,0.9999999999841888,1.5811241205199167e-11,1.5811241205199167e-11,1.5811241205449163e-11,optimal,0.064255334000336
0,4,2,6,3,4,6114273.0,1.0,0.9999999999600481,3.995193065264857e-11,3.995193065264857e-11,3.9951930654244726e-11,optimal,0.064255334000336
0,4,2,7,3,4,6118150.0,1.0,0.9999999998847623,1.1523770826471491e-10,1.1523770826471491e-10,1.1523770827799464e-10,optimal,0.064255334000336
0,4,2,8,1,2,1222314.0,1.0,0.9999999999841951,1.5804912933958803e-11,1.5804912933958803e-11,1.58049129342086e-11,optimal,0.064255334000336
0,4,2,9,0,4,1223659.0,1.0,0.9999999999841894,1.5810575071384392e-11,1.5810575071384392e-11,1.5810575071634365e-11,optimal,0.064255334000336
0,4,2,10,3,4,1222644.0,1.0,0.9999999999841814,1.5818568677161693e-11,1.5818568677161693e-11,1.581856867741192e-11,optimal,0.064255334000336
0,4,2,11,2,3,1224578.0,1.0,0.999999999984201,1.579902875192829e-11,1.579902875192829e-11,1.5799028752177898e-11,optimal,0.064255334000336
0,7,3,0,2,3,1299406.0,1.0,0.9999999657440908,3.425590922034871e-08,3.425590922034871e-08,3.425591039381607e-08,optimal,0.021794582993607037
0,7,3,1,0,2,1298735.0,1.0,0.999999951012468,4.8987532030864145e-08,4.8987532030864145e-08,4.8987534430642554e-08,optimal,0.021794582993607037
0,7,3,2,0,1,1299870.0,0.8983649123466244,0.999999951603338,-0.10163503925671358,0.10163503925671358,0.10163504417551046,optimal,0.021794582993607037
0,7,3,3,1,2,1299142.0,1.0,0.9999999650904117,3.4909588331188957e-08,3.4909588331188957e-08,3.4909589549868356e-08,optimal,0.021794582993607037
0,7,3,4,2,3,6489083.0,1.0,0.9999998186997048,1.8130029522112068e-07,1.8130029522112068e-07,1.8130032809092368e-07,optimal,0.021794582993607037
0,7,3,5,0,4,1299039.0,1.0,0.9999999512930342,4.870696579395428e-08,4.870696579395428e-08,4.870696816632292e-08,optimal,0.021794582993607037
0,7,3,6,3,4,6491412.0,1.0,0.9999997798135669,2.2018643308641117e-07,2.2018643308641117e-07,2.2018648156848715e-07,optimal,0.021794582993607037
0,7,3,7,1,4,6498027.0,1.0,0.9999998090817912,1.9091820879779675e-07,1.9091820879779675e-07,1.9091824524756616e-07,optimal,0.021794582993607037
